country,geometry_type,invalid_geometry_count,parsed_geometry_count,parse_error_count
Iraq,ALL_TYPES,0,102286,0
Iraq,LineString,0,22867,0
Iraq,MultiPolygon,0,25454,0
Iraq,Point,0,53845,0
Iraq,Polygon,0,120,0
Ireland,ALL_TYPES,0,945530,0
Ireland,LineString,0,436812,0
Ireland,MultiPolygon,0,442579,0
Ireland,Point,0,66139,0
Isle of Man,ALL_TYPES,0,8228,0
Isle of Man,LineString,0,3241,0
Isle of Man,MultiPolygon,0,3321,0
Isle of Man,Point,0,1666,0
Italy,ALL_TYPES,1,2572583,0
Italy,LineString,0,926261,0
Italy,MultiPolygon,1,958650,0
Italy,Point,0,687601,0
Italy,Polygon,0,71,0
Jamaica,ALL_TYPES,0,11903,0
Jamaica,LineString,0,4802,0
Jamaica,MultiPolygon,0,5368,0
Jamaica,Point,0,1720,0
Jamaica,Polygon,0,13,0
Japan,ALL_TYPES,34,2972474,0
Japan,LineString,0,1128784,0
Japan,MultiPolygon,16,1184462,0
Japan,Point,0,657581,0
Japan,Polygon,18,1647,0
Jordan,ALL_TYPES,0,19388,0
Jordan,LineString,0,5874,0
Jordan,MultiPolygon,0,6025,0
Jordan,Point,0,7420,0
Jordan,Polygon,0,69,0
Kazakhstan,ALL_TYPES,0,308918,0
Kazakhstan,LineString,0,133018,0
Kazakhstan,MultiPolygon,0,136949,0
Kazakhstan,Point,0,38744,0
Kazakhstan,Polygon,0,207,0
Kenya,ALL_TYPES,0,149754,0
Kenya,LineString,0,46898,0
Kenya,MultiPolygon,0,47627,0
Kenya,Point,0,55229,0
Kiribati,ALL_TYPES,0,2261,0
Kiribati,LineString,0,979,0
Kiribati,MultiPolygon,0,1134,0
Kiribati,Point,0,143,0
Kiribati,Polygon,0,5,0
Kosovo,ALL_TYPES,0,18718,0
Kosovo,LineString,0,5647,0
Kosovo,MultiPolygon,0,5934,0
Kosovo,Point,0,7136,0
Kosovo,Polygon,0,1,0
Kyrgyzstan,ALL_TYPES,0,48153,0
Kyrgyzstan,LineString,0,18598,0
Kyrgyzstan,MultiPolygon,0,19286,0
Kyrgyzstan,Point,0,10220,0
Kyrgyzstan,Polygon,0,49,0
Laos,ALL_TYPES,0,36257,0
Laos,LineString,0,12165,0
Laos,MultiPolygon,0,12912,0
Laos,Point,0,11013,0
Laos,Polygon,0,167,0
Latvia,ALL_TYPES,0,232133,0
Latvia,LineString,0,93087,0
Latvia,MultiPolygon,0,98594,0
Latvia,Point,0,40404,0
Latvia,Polygon,0,48,0
Lebanon,ALL_TYPES,0,27843,0
Lebanon,LineString,0,9749,0
Lebanon,MultiPolygon,0,11171,0
Lebanon,Point,0,6891,0
Lebanon,Polygon,0,32,0
Lesotho,ALL_TYPES,0,88269,0
Lesotho,LineString,0,42187,0
Lesotho,MultiPolygon,0,42321,0
Lesotho,Point,0,3672,0
Lesotho,Polygon,0,89,0
Liberia,ALL_TYPES,0,33969,0
Liberia,LineString,0,3687,0
Liberia,MultiPolygon,0,4127,0
Liberia,Point,0,26004,0
Liberia,Polygon,0,151,0
Libya,ALL_TYPES,0,43149,0
Libya,LineString,0,13739,0
Libya,MultiPolygon,0,13863,0
Libya,Point,0,15524,0
Libya,Polygon,0,23,0
Liechtenstein,ALL_TYPES,0,4691,0
Liechtenstein,LineString,0,1488,0
Liechtenstein,MultiPolygon,0,1501,0
Liechtenstein,Point,0,1697,0
Liechtenstein,Polygon,0,5,0
Lithuania,ALL_TYPES,0,109788,0
Lithuania,LineString,0,34838,0
Lithuania,MultiPolygon,0,45776,0
Lithuania,Point,0,29106,0
Lithuania,Polygon,0,68,0
Luxembourg,ALL_TYPES,0,70410,0
Luxembourg,LineString,0,24194,0
Luxembourg,MultiPolygon,0,24659,0
Luxembourg,Point,0,21553,0
Luxembourg,Polygon,0,4,0
Madagascar,ALL_TYPES,0,69674,0
Madagascar,LineString,0,26028,0
Madagascar,MultiPolygon,0,28914,0
Madagascar,Point,0,14718,0
Madagascar,Polygon,0,14,0
Malawi,ALL_TYPES,0,24674,0
Malawi,LineString,0,8378,0
Malawi,MultiPolygon,0,8535,0
Malawi,Point,0,7732,0
Malawi,Polygon,0,29,0
Maldives,ALL_TYPES,0,6045,0
Maldives,LineString,0,2058,0
Maldives,MultiPolygon,0,2159,0
Maldives,Point,0,1828,0
Mali,ALL_TYPES,0,58618,0
Mali,LineString,0,19307,0
Mali,MultiPolygon,0,21121,0
Mali,Point,0,18125,0
Mali,Polygon,0,65,0
Malta,ALL_TYPES,0,13990,0
Malta,LineString,0,4053,0
Malta,MultiPolygon,0,4145,0
Malta,Point,0,5720,0
Malta,Polygon,0,72,0
